Step,Performance_0_25,Best Route Energy_0_25,Target Route Energy_0_25,Efficiency_0_25,Improvement_0_25,Gap_0_25,Performance_0_5,Best Route Energy_0_5,Target Route Energy_0_5,Efficiency_0_5,Improvement_0_5,Gap_0_5,Performance_0_75,Best Route Energy_0_75,Target Route Energy_0_75,Efficiency_0_75,Improvement_0_75,Gap_0_75,Performance_1_0,Best Route Energy_1_0,Target Route Energy_1_0,Efficiency_1_0,Improvement_1_0,Gap_1_0
2048,190644.3437151104,25,4,25,78.28,5.25,190613.52453882943,3628,4,3628,inf,906.0,190640.5673995537,635,4,635,1.211023622047244,157.75,190650.1618181349,784,4,784,0.2295918367346938,195.0
4096,137506.05390250418,119,4,119,-0.7899159663865546,28.75,380868.1216278925,76,4,76,2.56578947368421,18.0,380912.0911333095,44,4,44,0.3863636363636364,10.0,380926.07462747226,26,4,26,1.5384615384615383,5.5
6144,327899.56281725387,119,4,119,-0.7899159663865546,28.75,570631.1867640584,76,4,76,2.56578947368421,18.0,52379.35493053973,44,4,44,0.3863636363636364,10.0,570699.1952868707,26,4,26,1.5384615384615383,5.5
8192,182067.88860179784,4914,4,4914,-0.9949124949124948,1227.5,189708.0573444404,58,4,58,0.2241379310344825,13.5,242976.71082233105,171,4,171,-0.7426900584795322,41.75,111625.25259869572,164,4,164,-0.8414634146341463,40.0
10240,372336.60655295104,17,4,17,0.4705882352941175,3.25,379975.0271038487,52,4,52,0.1153846153846154,12.0,3450.02243224778,171,4,171,-0.7426900584795322,41.75,35986.92397003328,148,4,148,-0.8243243243243242,36.0
12288,562118.2601626066,17,4,17,0.4705882352941175,3.25,106234.75673765932,433,4,433,-0.8799076212471131,107.25,194085.3804916389,349,4,349,-0.8739255014326648,86.25,226622.17415039835,148,4,148,-0.8243243243243242,36.0
14336,108746.46773594656,260,4,260,-0.9346153846153844,64.0,296700.4186567636,433,4,433,-0.8799076212471131,107.25,172314.74570604906,601,4,601,-0.9267886855241264,149.25,416779.6522944777,148,4,148,-0.8243243243243242,36.0
16384,299214.1657002617,260,4,260,-0.9346153846153844,64.0,87135.77275944552,75,4,75,-0.3066666666666666,17.75,362611.2757219655,601,4,601,-0.9267886855241264,149.25,606477.4282080894,108,4,108,-0.7592592592592592,26.0
18432,170824.86141527578,167,4,167,-0.8982035928143712,40.75,46324.57259166478,75,4,75,-0.3066666666666666,17.75,552444.5771001145,55,4,55,-0.2000000000000001,12.75,167290.42800247026,127,4,127,-0.7952755905511811,30.75
20480,361120.1638748354,167,4,167,-0.8982035928143712,40.75,236925.91492877013,1937,4,1937,-0.9731543624161074,483.25,126987.75647653786,1084,4,1084,-0.9594095940959412,270.0,72508.30061489408,127,4,127,-0.7952755905511811,30.75
