Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy
2048,9260.170833333334,4,inf,0,14
4096,9956.57293650794,8,inf,0,14
6144,8290.586944444445,11,inf,0,14
8192,7784.951428571427,15,inf,0,14
10240,9874.74126984127,18,inf,0,14
12288,7410.703888888889,22,inf,0,14
14336,5444.537698412698,26,inf,0,14
16384,744.0275000000003,30,inf,0,14
18432,537.6344444444445,34,inf,0,14
20480,8708.126388888884,37,inf,0,14
22528,3258.9550000000017,41,inf,0,14
24576,6001.731944444444,44,inf,0,14
26624,3298.6091269841268,48,inf,0,14
28672,7818.6525,51,inf,0,14
30720,3750.3075396825407,55,inf,0,14
32768,13747.813333333339,58,inf,0,14
34816,6427.459166666668,61,inf,0,14
36864,6673.079166666662,64,inf,0,14
38912,6959.483769841266,68,inf,0,14
40960,3786.932777777779,72,inf,0,14
43008,8150.9813888888875,75,inf,0,14
45056,2329.918888888889,79,inf,0,14
47104,2390.6441666666665,82,inf,0,14
49152,12990.788888888896,84,inf,0,16
51200,10166.420833333334,88,inf,0,16
53248,2740.5661111111103,92,inf,0,16
55296,2884.9833333333327,96,inf,0,16
57344,3725.5080555555555,100,inf,0,16
59392,18946.609444444446,102,inf,0,16
61440,6526.0841666666665,106,inf,0,16
63488,5872.319166666666,3,inf,1,14
65536,5508.9897222222235,7,inf,1,14
67584,6321.381388888888,11,inf,1,14
69632,6914.644642857145,15,inf,1,14
71680,8335.887499999999,18,inf,1,14
73728,7208.641666666668,22,inf,1,14
75776,5845.466666666668,26,inf,1,14
77824,3582.1633333333334,30,inf,1,14
79872,1772.3816666666671,34,inf,1,14
81920,2470.8972222222233,38,inf,1,14
83968,2366.3875000000003,42,inf,1,14
86016,6076.217777777777,45,inf,1,14
88064,9878.206388888888,48,inf,1,14
90112,10245.437222222221,52,inf,1,14
92160,8216.999523809523,55,inf,1,14
94208,4341.121944444445,58,inf,1,14
96256,9706.436111111112,61,inf,1,14
98304,82.77166666666668,65,inf,1,14
100352,1588.1249999999998,68,inf,1,14
102400,557.6180555555555,71,inf,1,14
104448,10230.578888888893,74,inf,1,14
106496,3622.74,78,inf,1,14
108544,6751.99388888889,81,inf,1,14
110592,2981.6833333333343,85,inf,1,16
112640,4749.028888888888,88,inf,1,16
114688,5688.887499999999,91,inf,1,16
116736,1999.9555555555555,94,inf,1,16
118784,8517.919166666667,97,inf,1,16
120832,12020.805,100,inf,1,16
122880,1196.1924999999994,104,inf,1,16
124928,2513.075,107,inf,1,16
126976,3172.3994444444443,110,inf,1,16
129024,1072.4763888888886,114,inf,1,16
131072,9634.403888888888,117,inf,1,16
133120,2842.9452777777774,121,inf,1,16
135168,392.5841666666666,124,inf,1,16
137216,1279.4222222222222,128,inf,1,16
139264,2000.101388888889,132,inf,1,16
141312,2822.2722222222214,136,inf,1,16
143360,2739.641507936508,140,inf,1,16
145408,8965.325833333332,143,inf,1,16
147456,9412.59484126984,147,inf,1,16
149504,9590.725833333336,151,inf,1,16
151552,14518.838531746032,154,inf,1,16
153600,1650.9113095238088,158,inf,1,16
155648,1935.7758333333338,162,inf,1,16
157696,2760.327222222222,166,inf,1,16
159744,3294.7305555555554,170,inf,1,16
161792,4155.079166666666,174,inf,1,16
163840,495.52999999999986,178,inf,1,16
165888,19262.19575396825,180,inf,1,16
167936,9351.205555555553,184,inf,1,17
169984,2246.2175,187,inf,1,18
172032,10144.176111111112,190,inf,1,18
174080,10596.306388888892,194,inf,1,18
176128,5811.284365079364,198,inf,1,18
178176,2780.7291666666665,200,inf,1,18
180224,7907.641388888888,203,inf,1,18
182272,2987.1222222222223,207,inf,1,18
184320,8334.238888888887,210,inf,1,18
186368,7708.323333333334,214,inf,1,18
188416,8297.775,218,inf,1,18
190464,9187.04666666667,222,inf,1,18
192512,2863.6175,226,inf,1,18
194560,10102.917499999998,229,inf,1,18
196608,10929.458333333332,233,inf,1,18
198656,4216.775000000001,237,inf,1,18
200704,5115.789920634921,241,inf,1,18
202752,5423.016111111111,245,inf,1,18
204800,7769.881388888886,248,inf,1,18
206848,7810.7054761904765,4,inf,2,14
208896,4258.470833333333,7,inf,2,14
210944,13351.962499999998,10,inf,2,14
212992,2513.9625,14,inf,2,14
215040,7642.81234126984,17,inf,2,14
217088,8122.13888888889,21,inf,2,14
219136,14217.225833333332,24,inf,2,14
221184,7562.999444444444,28,inf,2,14
223232,9900.421666666665,31,inf,2,14
225280,10789.816111111111,35,inf,2,14
227328,10831.884722222223,39,inf,2,14
229376,17375.923333333325,41,inf,2,14
231424,3067.5522222222216,45,inf,2,14
233472,14130.24527777778,48,inf,2,14
235520,5036.320833333332,52,inf,2,14
237568,20832.202777777777,54,inf,2,14
239616,6975.241666666667,58,inf,2,14
241664,8365.613333333335,61,inf,2,14
243712,6930.339722222223,64,inf,2,14
245760,11639.668055555554,67,inf,2,14
247808,9135.701388888892,70,inf,2,14
249856,9014.387222222225,74,inf,2,14
251904,11554.058055555557,77,inf,2,14
253952,4296.938333333333,81,inf,2,14
256000,9755.344444444445,83,inf,2,16
258048,10447.571944444444,87,inf,2,16
260096,13989.384722222221,89,inf,2,16
262144,8094.343055555557,93,inf,2,16
264192,4606.28,96,inf,2,16
266240,10159.687499999998,99,inf,2,16
268288,9095.405555555559,102,inf,2,16
270336,783.8924999999996,3,inf,3,14
